Iteration;Array;ArrayList;LinkedList
1;139;421;454
2;57;55;255
3;51;42;236
4;38;39;238
5;37;38;239
6;37;38;233
7;36;46;231
8;35;37;227
9;36;38;227
10;39;37;229
11;36;37;232
12;35;57;315
13;35;37;234
14;36;38;234
15;36;37;228
16;36;43;227
17;36;38;227
18;43;39;233
19;36;38;234
20;36;38;232
21;37;38;233
22;36;38;233
23;36;38;239
24;36;38;241
25;36;38;247
26;36;39;233
27;44;38;233
28;36;38;237
29;37;37;243
30;40;39;232
31;37;38;237
32;36;38;238
33;36;41;243
34;37;38;239
35;37;38;233
36;36;40;233
37;36;38;233
38;36;38;232
39;36;38;232
40;36;38;232
41;37;38;236
42;36;38;233
43;36;38;234
44;36;39;232
45;42;38;233
46;36;38;232
47;36;38;233
48;36;38;233
49;36;38;233
50;36;39;232
51;37;38;232
52;36;38;244
53;44;41;307
54;51;36;223
55;35;36;223
56;35;36;223
57;35;36;222
58;35;40;222
59;35;36;225
60;35;37;222
61;36;37;222
62;75;53;273
63;53;45;259
64;35;40;228
65;36;38;244
66;36;38;240
67;35;37;227
68;36;37;268
69;36;37;228
70;42;37;260
71;36;37;234
72;36;44;238
73;36;37;228
74;38;44;242
75;37;39;227
76;36;38;237
77;37;38;251
78;40;38;232
79;37;38;238
80;39;38;236
81;38;38;246
82;37;38;233
83;36;38;233
84;36;38;233
85;36;38;234
86;36;38;239
87;37;38;233
88;37;38;236
89;37;40;233
90;37;43;233
91;37;38;234
92;37;38;233
93;37;38;243
94;56;63;263
95;37;38;241
96;45;42;241
97;37;38;238
98;36;38;234
99;36;42;232
100;36;38;237
101;44;43;236
102;40;44;245
103;39;40;241
104;39;44;248
105;38;39;241
106;47;39;238
107;37;38;236
108;41;38;234
109;37;38;233
110;36;39;246
111;36;39;253
112;36;40;234
113;36;39;240
114;37;38;234
115;36;44;237
116;36;42;234
117;36;39;235
118;36;39;233
119;36;39;234
120;36;38;235
121;36;39;233
122;36;38;234
123;36;39;234
124;36;39;244
125;37;39;234
126;36;39;245
127;36;39;234
128;40;38;235
129;36;39;234
130;36;38;234
131;36;39;234
132;36;38;234
133;36;40;233
134;35;37;229
135;35;37;229
136;35;36;223
137;35;37;226
138;34;37;223
139;34;37;223
140;35;37;226
141;35;37;227
142;35;37;224
143;34;37;249
144;35;36;259
145;38;47;255
146;45;44;227
147;39;39;236
148;36;38;234
149;36;45;230
150;35;38;251
151;35;38;247
152;36;45;252
153;36;47;228
154;36;38;280
155;43;37;264
156;42;44;238
157;36;40;279
158;36;39;294
159;51;47;258
160;36;39;234
161;41;39;248
162;36;41;235
163;44;61;256
