Iteration;Array;ArrayList;LinkedList
398;26;26;86
399;26;24;77
400;26;27;77
401;26;26;78
402;26;29;77
403;26;31;78
404;25;26;75
405;25;31;76
406;25;26;75
407;25;26;75
408;25;26;75
409;25;26;75
410;25;26;75
411;26;26;75
412;25;26;76
413;25;26;75
414;25;26;75
415;25;26;75
416;34;26;74
417;25;26;75
418;25;26;74
419;26;26;81
420;25;26;75
421;25;26;75
422;25;26;75
423;25;26;74
424;26;26;75
425;25;26;75
426;25;25;74
427;26;30;98
428;25;25;74
429;25;25;73
430;24;26;77
431;25;25;73
432;25;25;74
433;25;30;87
434;26;25;73
435;29;29;74
436;25;26;73
437;25;29;73
438;24;30;73
439;25;25;73
440;25;35;80
441;25;25;81
442;25;25;73
443;25;25;73
444;25;25;77
445;25;26;73
446;25;29;76
447;28;25;79
448;25;26;78
449;25;26;78
450;25;26;78
451;25;26;78
452;25;26;78
453;25;26;78
454;25;26;83
455;25;26;79
456;25;26;78
457;25;26;78
458;25;26;79
459;25;26;78
460;25;26;78
461;25;26;82
462;25;27;79
463;25;26;82
464;25;26;82
465;25;26;78
466;25;26;78
467;25;26;78
468;25;31;79
469;28;26;78
470;25;26;79
471;26;26;78
472;28;31;79
473;25;26;78
474;26;26;78
475;29;34;84
476;26;28;79
477;27;30;79
478;26;30;84
479;26;27;79
480;26;29;87
481;32;26;78
482;26;27;79
483;26;27;79
484;26;30;78
485;30;27;78
486;25;26;78
487;25;26;80
488;25;26;79
489;25;26;78
490;25;26;94
491;25;26;78
492;25;31;78
493;25;26;82
494;25;26;78
495;26;27;86
496;25;26;90
497;25;26;79
498;25;26;86
499;28;26;85
500;28;26;77
501;40;27;102
502;25;30;82
503;30;34;78
504;35;28;79
505;31;34;101
506;37;28;96
507;25;26;81
508;29;26;80
509;26;32;105
510;25;26;79
511;26;27;80
512;28;43;104
513;25;26;81
514;31;23;79
515;26;32;80
516;26;23;80
517;25;25;80
518;26;33;82
519;26;28;80
520;26;29;80
521;26;26;81
522;26;30;80
523;30;31;81
524;26;27;80
525;26;28;80
526;26;24;80
527;27;28;82
528;26;26;81
529;26;28;80
530;32;30;82
531;26;26;80
532;28;25;81
533;26;26;81
534;26;27;81
535;26;29;82
536;26;24;95
537;26;23;82
538;27;23;80
539;26;27;81
540;26;28;80
541;26;28;81
542;26;28;80
543;26;24;81
544;26;26;81
545;26;27;82
546;26;26;81
547;26;26;80
548;26;26;80
549;26;25;81
550;26;27;80
551;26;25;80
552;27;31;81
553;25;24;81
554;26;27;80
555;26;30;80
556;26;27;80
557;26;32;81
558;26;27;81
559;28;28;81
560;26;26;80
561;26;24;77
562;26;27;77
563;26;27;78
564;26;27;78
565;26;30;77
566;26;26;77
567;26;26;77
568;26;28;77
569;28;28;78
570;26;26;78
571;26;27;77
572;26;27;76
573;26;22;77
574;27;27;77
575;26;27;77
576;28;37;77
577;26;26;77
578;26;29;78
579;26;26;77
580;26;28;78
581;26;27;76
582;26;28;79
583;26;27;78
584;26;27;79
585;26;27;77
586;26;31;77
587;26;26;76
588;26;25;77
589;26;25;76
590;26;28;80
591;26;27;76
592;26;26;77
593;25;27;77
594;26;26;77
595;26;24;78
596;26;29;78
597;26;27;78
598;26;28;77
599;26;27;76
600;26;26;77
601;25;26;79
602;25;28;75
603;34;28;75
604;26;26;76
605;25;26;75
606;28;26;75
607;25;27;77
608;25;26;75
609;25;30;75
610;25;25;75
611;26;28;75
612;25;26;90
613;25;26;75
614;25;26;78
615;25;26;80
616;25;26;75
617;26;30;78
618;25;26;75
619;25;26;75
620;25;26;83
621;25;26;81
622;27;31;75
623;25;26;75
624;25;26;75
625;27;26;85
626;25;33;86
627;28;26;75
628;26;26;80
629;30;26;79
630;25;26;84
631;26;26;75
632;31;32;87
633;25;26;85
634;25;26;75
635;34;27;76
636;25;27;79
637;26;27;75
638;25;29;80
639;25;26;77
640;28;27;74
641;26;26;76
642;25;26;81
643;25;31;75
644;26;27;77
645;27;26;78
646;26;29;77
647;26;29;77
648;26;26;77
649;30;27;78
650;26;30;78
651;26;26;77
652;26;28;81
653;26;28;77
654;26;27;77
655;27;24;78
656;26;26;77
657;26;27;76
658;27;28;76
659;26;27;81
660;26;27;77
661;26;24;77
662;26;27;84
663;26;27;77
664;26;27;77
665;26;28;81
666;26;27;75
667;26;26;75
668;25;26;79
669;26;25;79
670;35;26;75
671;25;27;82
672;26;26;75
673;34;28;74
674;25;26;105
675;25;26;78
676;25;26;79
677;25;34;87
678;25;26;78
679;30;26;82
680;25;30;85
681;25;26;78
682;25;26;83
683;25;26;82
684;25;26;79
685;25;26;78
686;25;29;93
687;25;26;78
688;26;24;80
689;26;28;80
690;26;28;81
691;26;27;81
692;26;25;83
693;26;30;80
694;27;23;81
695;26;24;80
696;26;25;82
697;26;25;81
698;26;24;80
699;26;28;81
700;27;27;81
701;26;26;80
702;26;26;81
703;29;31;82
704;26;24;80
705;26;26;80
706;26;31;80
707;26;26;81
708;26;28;81
709;26;29;81
710;25;27;82
711;26;26;79
712;25;36;86
713;25;26;79
714;26;26;78
715;25;36;108
716;25;26;79
717;25;26;84
718;35;27;85
719;25;26;79
720;25;30;79
721;29;26;78
722;25;26;78
723;25;26;78
724;25;31;80
725;25;26;78
726;25;26;78
727;25;26;78
728;25;26;78
729;25;26;78
730;25;26;83
731;29;26;78
732;25;26;79
733;25;27;78
734;25;26;78
735;35;40;104
736;29;31;100
737;25;26;78
738;26;27;79
739;25;35;78
740;25;26;78
741;30;26;78
742;25;26;78
743;25;26;78
744;25;26;79
745;25;26;78
746;25;26;89
747;28;31;94
748;27;32;106
749;28;36;120
750;29;37;83
751;33;30;79
752;30;41;118
753;37;40;470
754;40;39;93
755;27;34;88
756;55;33;266
757;34;39;91
758;26;33;96
759;34;31;88
760;26;28;81
761;49;55;124
762;33;50;109
763;26;28;93
764;26;29;84
765;26;27;81
766;29;28;88
767;26;28;84
768;31;31;85
769;33;47;98
770;26;28;87
771;26;28;80
772;28;25;81
773;26;27;81
774;26;27;80
775;26;29;81
776;26;25;80
777;26;33;81
778;27;26;81
779;26;26;85
780;26;28;81
781;27;27;91
782;26;28;81
783;26;28;80
784;26;28;80
785;27;33;80
786;26;28;80
787;26;31;80
788;29;32;79
789;26;28;81
790;26;28;81
791;41;29;81
792;26;28;81
793;26;28;81
794;26;29;80
795;26;28;81
796;26;28;80
797;27;31;89
798;26;28;82
799;26;28;80
800;25;28;85
801;26;28;80
802;26;28;79
803;26;28;80
804;27;28;80
805;26;28;80
806;26;28;79
807;26;28;94
808;26;28;80
809;26;28;80
810;26;28;80
811;26;28;80
812;26;28;80
813;26;28;79
814;26;29;79
815;26;28;81
816;26;28;80
817;26;28;80
818;26;28;80
819;26;28;79
820;26;28;79
821;26;29;80
822;26;28;80
823;26;28;79
824;26;28;80
825;26;29;80
826;26;28;80
827;25;28;80
828;25;30;81
829;26;28;81
830;26;28;79
831;26;28;80
832;26;28;80
833;26;28;80
834;26;28;77
835;25;28;78
836;26;27;80
837;25;31;78
838;25;28;78
839;25;34;83
840;25;28;78
841;25;28;77
842;25;33;83
843;25;26;77
844;25;26;78
845;25;27;84
846;25;28;78
847;25;27;78
848;25;27;79
849;28;28;78
850;33;27;78
851;25;29;78
852;25;25;77
853;25;28;77
854;25;28;79
855;25;28;79
856;29;27;77
857;25;27;78
858;26;26;78
859;25;27;83
860;25;28;77
861;25;26;79
862;25;28;77
863;30;28;78
864;25;26;77
865;25;28;77
866;25;28;78
867;25;26;78
868;25;30;78
869;25;28;78
870;25;32;80
871;25;25;78
872;25;26;78
873;25;31;78
874;25;27;79
875;25;27;82
876;25;26;77
877;26;28;77
878;26;25;78
879;25;28;78
880;25;29;87
881;25;28;78
882;26;26;78
883;25;28;78
884;25;28;78
885;25;27;78
886;29;27;78
887;25;31;77
888;25;29;78
889;25;29;77
890;25;26;78
891;25;34;80
892;25;23;78
893;25;26;78
894;25;27;77
895;25;28;77
896;25;27;77
897;25;28;77
898;25;27;77
899;25;26;77
900;25;26;78
901;27;27;77
902;25;28;82
903;25;28;77
904;25;27;78
905;25;25;78
906;25;26;78
907;28;28;77
908;25;31;78
909;25;28;78
910;25;27;77
911;26;28;78
912;25;29;78
913;25;25;78
914;25;28;77
915;25;28;82
916;25;28;77
917;25;26;77
918;25;26;84
919;26;27;77
920;25;28;78
921;28;27;77
922;25;26;79
923;25;45;87
924;34;30;77
925;25;28;78
926;25;25;82
927;27;33;78
928;25;29;82
929;25;28;78
930;27;27;83
931;34;40;92
932;25;27;81
933;28;29;90
934;25;27;93
935;26;28;85
936;30;31;79
937;25;27;85
938;25;27;88
939;31;26;78
940;31;36;83
941;35;31;94
942;31;29;79
943;28;34;78
944;26;28;80
945;26;31;83
946;26;28;80
947;25;28;80
948;27;28;81
949;26;28;80
950;26;28;80
951;26;28;79
952;26;28;80
953;27;28;80
954;26;28;80
955;26;28;91
956;26;28;80
957;26;28;80
958;27;28;80
959;26;28;80
960;26;28;80
961;33;37;90
962;26;30;85
963;26;28;80
964;26;28;80
965;27;32;80
966;26;28;80
967;26;28;81
968;27;28;80
969;26;29;80
970;26;28;81
971;27;28;80
972;26;29;81
973;30;30;81
974;34;36;90
975;41;44;81
976;26;28;80
977;35;37;80
978;31;28;83
979;26;28;84
980;26;28;79
981;26;28;86
982;26;28;81
983;26;28;80
984;28;34;87
985;26;28;85
986;27;31;94
987;26;28;80
988;26;33;80
989;26;28;81
990;26;28;83
991;27;28;92
992;27;28;80
993;26;28;84
994;32;50;82
995;25;29;85
996;26;28;81
997;27;28;80
998;27;32;94
999;27;28;81
1000;26;28;80
