Iteration;Array;ArrayList;LinkedList
1;132;277;360
2;82;70;199
3;46;34;166
4;31;36;160
5;37;39;153
6;30;34;170
7;30;31;209
8;30;31;174
9;30;31;194
10;30;31;173
11;31;35;175
12;30;31;156
13;31;32;155
14;31;35;193
15;31;32;157
16;31;32;157
17;31;32;154
18;31;32;155
19;31;32;155
20;31;32;155
21;31;32;156
22;31;32;155
23;31;32;155
24;31;32;155
25;31;32;154
26;33;32;156
27;31;32;152
28;30;31;157
29;30;31;150
30;30;31;151
31;30;31;150
32;30;31;151
33;30;31;155
34;30;36;156
35;30;31;154
36;30;31;159
37;30;31;151
38;30;31;152
39;30;31;151
40;30;31;161
41;30;31;152
42;30;31;152
43;30;31;152
44;30;31;152
45;30;31;158
46;30;31;152
47;34;31;160
48;31;34;154
49;30;31;152
50;38;31;152
51;30;31;151
52;30;32;157
53;30;31;150
54;30;31;152
55;30;31;151
56;30;31;152
57;30;31;156
58;29;30;147
59;29;30;146
60;29;30;147
61;29;30;147
62;29;30;151
63;30;30;148
64;29;30;148
65;29;30;147
66;29;30;148
67;29;30;161
68;29;30;147
69;29;30;147
70;29;30;147
71;29;31;155
72;35;30;147
73;29;30;148
74;29;30;147
75;29;30;148
76;33;30;148
77;31;30;147
78;29;30;147
79;29;30;147
80;29;30;148
81;29;31;148
82;29;39;147
83;29;30;148
84;29;30;156
85;29;30;147
86;29;30;147
87;39;54;258
88;29;35;150
89;30;31;153
90;30;32;156
91;30;37;155
92;30;32;155
93;34;31;155
94;30;34;155
95;30;31;156
96;30;31;166
97;30;31;154
98;30;39;154
99;30;31;152
100;30;31;156
101;41;31;156
102;30;31;159
103;30;31;155
104;30;31;155
105;30;31;154
106;30;31;155
107;30;31;158
108;30;31;159
109;30;31;153
110;30;31;151
111;30;31;151
112;32;33;172
113;31;32;154
114;31;33;161
115;30;34;161
116;31;33;160
117;30;33;161
118;30;32;154
119;30;31;154
120;30;31;153
121;31;32;178
122;32;33;160
123;31;31;180
124;35;40;164
125;30;32;161
126;30;31;152
127;30;32;156
128;40;35;161
129;30;38;178
130;30;35;162
131;31;33;172
132;31;57;176
133;30;36;180
134;30;31;182
135;30;32;167
136;30;32;166
137;30;32;161
138;30;33;162
139;30;34;157
140;31;32;182
141;30;32;159
142;30;32;165
143;37;35;164
144;30;33;155
145;32;35;205
146;30;31;165
147;30;31;174
148;33;31;155
149;30;32;164
150;36;35;158
151;30;31;152
152;30;33;168
153;30;33;154
154;30;31;156
155;30;31;157
156;30;32;154
157;36;40;154
158;31;31;153
159;31;32;166
160;31;32;156
161;30;31;155
162;29;31;148
163;34;31;153
164;32;37;186
165;37;31;151
166;31;36;170
167;29;32;150
168;29;30;148
169;33;31;162
170;29;31;151
171;43;35;160
172;31;45;154
173;30;31;171
174;29;31;185
175;29;30;158
176;30;31;153
177;30;31;153
178;30;36;152
179;30;31;151
180;30;31;189
181;45;47;194
182;36;31;179
183;31;42;178
184;30;32;162
185;30;42;177
186;31;35;170
187;30;31;163
188;30;31;165
189;30;31;156
190;30;31;153
191;30;31;150
192;32;33;160
193;31;32;160
194;33;34;164
195;32;32;156
196;31;33;189
197;33;33;156
198;31;33;155
199;31;33;158
200;31;33;157
201;33;32;165
202;34;33;157
203;31;41;168
204;35;35;159
205;33;32;168
206;38;35;162
207;35;36;163
208;34;36;165
209;35;39;183
210;35;46;157
211;33;37;157
212;31;34;157
213;34;36;157
214;36;36;156
215;33;36;156
216;31;32;172
217;32;32;169
218;31;32;173
219;31;31;180
220;30;32;178
221;31;32;180
222;31;32;178
223;31;32;177
224;31;32;175
225;31;32;169
226;31;32;171
227;31;32;169
228;31;32;174
229;32;32;180
230;31;32;165
231;30;32;167
232;31;32;179
233;31;32;177
234;31;32;184
235;30;32;174
236;31;34;197
237;31;33;188
238;31;32;217
239;31;37;169
240;31;35;189
241;37;53;196
242;51;54;195
243;35;41;202
244;65;75;344
245;50;70;176
246;32;38;187
247;70;86;275
248;41;35;158
249;34;34;174
250;32;34;173
251;32;32;190
252;33;50;235
253;44;37;183
254;50;57;183
255;49;41;160
256;43;34;156
257;42;32;219
258;52;46;198
259;32;39;192
260;37;40;190
261;37;41;189
262;35;42;183
263;41;49;156
264;32;37;169
265;33;36;162
266;36;43;155
267;49;38;156
268;33;40;155
269;33;50;157
270;37;46;166
271;33;35;156
272;30;35;161
273;32;35;156
