Iteration,Array,ArrayList,LinkedList
398,26,40,236
399,26,41,243
400,26,49,242
401,26,41,241
402,26,41,242
403,26,41,248
404,28,41,235
405,26,41,236
406,26,41,249
407,26,41,259
408,26,41,237
409,26,41,236
410,26,41,236
411,26,41,236
412,26,41,236
413,26,40,243
414,26,41,243
415,37,41,236
416,26,41,241
417,26,41,242
418,26,41,242
419,33,47,242
420,26,41,237
421,26,41,240
422,26,41,237
423,26,41,237
424,26,41,247
425,26,41,243
426,35,40,237
427,26,41,237
428,26,41,250
429,26,41,241
430,26,41,236
431,26,41,239
432,26,41,249
433,32,44,236
434,26,41,237
435,26,41,250
436,26,41,242
437,26,41,236
438,26,41,265
439,26,58,236
440,44,50,243
441,26,41,269
442,49,43,236
443,26,41,236
444,26,41,256
445,26,42,249
446,26,41,276
447,26,41,251
448,26,42,242
449,27,42,243
450,26,41,253
451,26,41,242
452,26,41,251
453,26,41,242
454,26,41,243
455,26,42,242
456,26,46,248
457,26,42,248
458,26,41,240
459,26,41,249
460,26,41,242
461,26,41,241
462,26,41,241
463,26,42,251
464,26,42,242
465,26,41,242
466,26,42,243
467,26,41,242
468,26,41,242
469,26,41,241
470,26,41,241
471,26,42,241
472,26,41,246
473,26,41,241
474,26,41,243
475,26,41,242
476,26,41,242
477,26,41,242
478,26,42,241
479,26,41,241
480,26,41,245
481,26,41,241
482,26,41,242
483,26,41,236
484,26,41,243
485,26,41,249
486,26,41,237
487,26,41,236
488,26,43,252
489,30,43,256
490,26,41,245
491,26,41,248
492,26,46,237
493,26,41,238
494,26,41,242
495,26,41,242
496,27,47,236
497,26,40,237
498,26,41,244
499,26,41,237
500,26,41,242
501,26,41,236
502,26,41,243
503,26,41,236
504,26,41,237
505,26,41,237
506,26,40,236
507,26,42,237
508,26,41,239
509,26,41,236
510,26,40,243
511,26,44,235
512,26,45,236
513,26,41,242
514,26,41,242
515,27,41,236
516,26,41,235
517,26,41,236
518,26,41,239
519,26,41,248
520,26,41,247
521,26,41,235
522,26,52,237
523,26,41,236
524,26,41,236
525,26,41,236
526,26,41,237
527,26,41,237
528,26,41,240
529,26,41,237
530,26,41,237
531,26,41,236
532,26,41,236
533,26,41,236
534,26,41,242
535,26,41,236
536,32,41,240
537,26,41,236
538,26,41,236
539,26,41,236
540,26,41,236
541,26,41,241
542,26,41,242
543,26,41,237
544,26,41,237
545,26,41,237
546,26,41,236
547,26,41,247
548,26,41,235
549,26,41,236
550,26,41,237
551,26,41,305
552,26,41,247
553,26,41,253
554,26,48,237
555,26,41,239
556,26,41,248
557,26,41,242
558,26,41,236
559,26,41,247
560,26,41,243
