Iteration;Array;ArrayList;LinkedList
1;61;42;147
2;40;43;95
3;27;28;80
4;27;28;79
5;28;30;81
6;26;25;79
7;26;30;78
8;26;26;78
9;26;28;79
10;26;33;78
11;26;25;78
12;26;24;80
13;26;30;78
14;27;27;78
15;26;24;81
16;26;30;79
17;27;29;80
18;26;26;80
19;26;27;83
20;30;31;86
21;41;28;80
22;26;26;89
23;26;31;80
24;26;30;80
25;36;53;102
26;37;29;85
27;27;32;80
28;26;36;89
29;26;25;83
30;26;24;80
31;26;29;81
32;26;26;80
33;37;37;79
34;26;28;81
35;26;23;80
36;26;30;80
37;26;28;80
38;26;25;80
39;26;26;80
40;26;27;79
41;26;26;80
42;26;28;79
43;26;32;80
44;26;27;80
45;26;29;79
46;26;29;80
47;26;32;80
48;26;31;80
49;26;30;80
50;26;20;80
51;26;27;80
52;26;26;79
53;26;29;80
54;26;23;80
55;26;25;80
56;30;28;80
57;26;25;80
58;26;21;80
59;26;20;80
60;26;30;81
61;26;30;80
62;26;29;81
63;26;27;83
64;26;30;79
65;26;25;79
66;26;28;94
67;26;25;80
68;26;22;80
69;26;30;81
70;26;29;80
71;26;23;80
72;26;34;80
73;26;32;79
74;26;27;79
75;26;28;80
76;31;21;80
77;26;31;80
78;26;30;80
79;26;29;81
80;26;33;80
81;28;28;79
82;27;26;83
83;26;28;80
84;26;29;80
85;26;25;83
86;26;27;80
87;26;25;80
88;26;28;80
89;26;30;80
90;26;26;79
91;26;32;86
92;26;30;80
93;26;30;80
94;26;27;89
95;26;31;80
96;26;21;79
97;26;33;81
98;26;26;80
99;26;30;80
100;30;24;80
101;26;30;84
102;25;31;83
103;26;30;83
104;26;31;82
105;26;30;83
106;26;30;83
107;27;39;81
108;26;29;89
109;26;30;84
110;26;30;83
111;26;29;88
112;26;30;81
113;26;30;82
114;26;30;88
115;26;30;83
116;26;30;83
117;26;30;87
118;26;30;83
119;26;30;83
120;26;30;88
121;26;30;83
122;30;30;83
123;26;30;88
124;26;29;81
125;26;30;82
126;26;29;86
127;26;30;82
128;26;30;82
129;25;30;87
130;26;30;83
131;26;30;82
132;26;30;84
133;26;29;80
134;26;29;83
135;26;29;83
136;26;30;83
137;26;30;82
138;26;30;82
139;26;30;84
140;26;30;83
141;26;30;84
142;26;30;82
143;26;30;83
144;26;30;83
145;26;30;82
146;27;34;81
147;26;29;85
148;26;29;81
149;26;30;83
150;26;30;82
151;26;30;83
152;26;30;84
153;26;30;83
154;26;30;81
155;26;30;83
156;26;30;82
157;26;30;82
158;26;30;84
159;27;29;82
160;26;29;82
161;26;30;80
162;26;30;82
163;26;30;84
164;26;30;83
165;26;30;83
166;26;32;83
167;26;30;89
168;26;30;82
169;26;30;84
170;26;30;83
171;26;30;82
172;26;30;83
173;26;31;82
174;26;30;82
175;26;30;83
176;26;30;87
177;26;30;83
178;26;30;82
179;26;30;84
180;26;30;82
181;28;30;82
182;27;30;91
183;26;30;85
184;26;30;83
185;26;30;84
186;26;29;82
187;28;30;82
188;26;30;85
189;26;30;82
190;27;30;83
191;26;30;82
192;26;30;83
193;26;30;82
194;26;30;82
195;26;30;81
196;26;30;82
197;26;29;82
198;26;29;84
199;26;29;83
200;26;29;84
201;26;30;82
202;26;30;81
203;26;30;83
204;25;29;84
205;26;30;82
206;26;30;81
207;26;30;90
208;38;41;87
209;26;30;94
210;25;29;85
211;25;29;80
212;25;29;94
213;25;29;82
214;25;29;81
215;25;29;97
216;26;28;78
217;26;28;78
218;43;28;78
219;26;28;78
220;26;28;78
221;26;39;78
222;26;28;78
223;26;28;82
224;26;38;83
225;25;28;78
226;25;28;78
227;26;28;91
228;25;27;78
229;26;27;79
230;25;28;112
231;26;28;80
232;26;29;80
233;27;29;81
234;26;29;80
235;27;29;80
236;26;29;82
237;28;28;80
238;36;28;80
239;26;29;80
240;27;29;82
241;26;29;81
242;26;28;80
243;26;29;80
244;26;34;80
245;26;29;80
246;26;29;80
247;27;33;81
248;27;29;80
249;27;28;81
250;26;30;82
251;27;29;79
252;26;28;80
253;26;29;85
254;26;28;81
255;27;29;80
256;26;29;85
257;26;29;80
258;26;29;81
259;26;29;85
260;26;29;80
261;27;29;81
262;26;29;84
263;26;29;80
264;26;29;80
265;26;28;85
266;26;29;80
267;27;29;80
268;27;29;85
269;26;29;80
270;33;29;81
271;26;29;83
272;27;29;80
273;40;28;81
274;26;29;81
275;26;28;80
276;28;29;81
277;26;28;80
278;26;32;81
279;26;30;81
280;27;28;83
281;25;28;81
282;33;29;81
283;26;29;82
284;26;29;80
285;31;29;80
286;26;29;81
287;26;29;80
288;26;29;81
289;26;29;80
290;27;29;80
291;26;33;81
292;26;29;80
293;26;29;80
294;31;42;84
295;27;29;80
296;27;28;81
297;28;37;80
298;26;29;81
299;26;29;82
300;31;31;80
301;27;29;81
302;27;28;81
303;29;32;81
304;26;29;81
305;27;29;83
306;28;29;81
307;26;29;80
308;27;28;80
309;29;33;80
310;27;29;79
311;27;29;80
312;29;28;80
313;27;29;80
314;27;30;80
315;26;29;80
316;26;29;81
317;27;29;80
318;26;29;83
319;26;29;80
320;26;28;80
321;26;29;85
322;26;29;80
323;26;29;81
324;26;28;83
325;26;28;80
326;26;29;139
327;27;28;81
328;26;29;80
329;26;30;81
330;26;28;84
331;27;29;83
332;26;29;84
333;26;29;83
334;26;29;83
335;27;28;82
336;26;29;83
337;27;29;82
338;27;28;85
339;26;38;92
340;26;28;83
341;26;29;84
342;30;29;84
343;26;29;85
344;27;29;82
345;26;31;82
346;26;28;84
347;25;29;82
348;26;36;83
349;26;29;87
350;26;28;85
351;26;34;84
352;26;28;82
353;26;29;83
354;26;32;86
355;26;29;84
356;27;29;83
357;26;31;83
358;26;29;82
359;26;29;84
360;26;29;83
361;28;29;83
362;26;28;80
363;26;42;90
364;26;29;82
365;26;28;81
366;26;53;82
367;26;27;82
368;34;28;119
369;26;48;103
370;32;35;109
371;39;42;103
372;26;32;102
373;32;33;100
374;26;28;88
375;34;34;101
376;26;28;81
377;26;28;89
378;30;34;104
379;26;28;88
380;26;34;81
381;26;29;83
382;27;28;83
383;27;28;84
384;26;27;84
385;27;28;84
386;26;28;83
387;26;29;83
388;26;28;85
389;26;29;83
390;27;29;84
391;26;31;83
392;27;29;84
393;26;28;84
394;26;29;81
395;26;29;83
396;26;29;84
397;26;29;84
398;28;29;83
399;26;29;83
400;27;29;84
401;27;36;83
402;26;29;83
403;26;27;82
404;26;28;81
405;26;28;82
406;26;28;81
407;26;28;81
408;26;28;87
409;25;27;81
410;25;28;81
411;26;29;82
412;26;28;82
413;25;28;81
414;26;28;80
415;26;28;81
416;26;28;81
417;26;28;81
418;26;28;83
419;26;28;82
420;26;28;81
421;26;28;85
422;26;28;85
423;26;28;82
424;26;28;81
425;26;28;86
426;31;42;114
427;36;29;82
428;25;28;103
429;30;27;79
430;25;35;79
431;25;27;81
432;25;27;82
433;25;27;79
434;25;27;79
435;25;27;79
436;25;29;85
437;25;27;80
438;25;27;80
439;25;27;89
440;25;27;79
441;25;27;80
442;25;27;87
443;25;27;86
444;25;27;79
445;25;27;92
446;25;27;77
447;25;27;77
448;26;29;80
449;26;28;78
450;26;32;78
451;26;28;79
452;26;28;78
453;26;28;78
454;26;28;78
455;26;28;79
456;26;28;78
457;26;33;78
458;26;28;82
459;26;28;78
460;28;28;77
461;26;28;78
462;26;28;82
463;26;28;78
464;29;28;78
465;27;30;81
466;26;28;78
467;26;28;78
468;26;28;80
469;26;28;78
470;28;44;79
471;26;31;79
472;26;28;78
473;26;28;81
474;26;28;81
475;26;28;79
476;28;30;78
477;25;23;78
478;26;33;90
479;29;34;78
480;26;28;79
481;26;27;88
482;28;27;78
483;29;26;79
484;25;29;78
485;26;29;78
486;26;28;79
487;26;28;78
488;26;31;83
489;26;26;78
490;26;28;78
491;26;28;89
492;26;28;78
493;30;31;78
494;26;28;83
495;27;35;78
496;26;34;101
497;26;27;82
498;26;28;78
499;26;34;84
500;26;28;89
501;26;28;78
502;26;29;79
503;26;33;90
504;33;28;79
505;35;42;78
506;28;29;86
507;36;28;92
508;26;28;78
509;27;36;79
510;26;37;83
511;26;29;78
512;40;35;80
513;26;31;106
514;26;29;81
515;27;28;80
516;26;29;85
517;27;29;80
518;27;29;79
519;26;28;80
520;27;29;80
521;26;29;80
