Iteration;Array;ArrayList;LinkedList
1;114;59;333
2;44;49;178
3;31;34;156
4;31;34;158
5;30;32;155
6;30;32;155
7;30;33;158
8;29;32;156
9;29;38;155
10;33;32;167
11;29;32;162
12;30;33;158
13;30;33;158
14;38;33;162
15;30;32;158
16;30;33;158
17;30;34;158
18;30;32;160
19;30;32;159
20;30;32;158
21;30;33;159
22;31;33;158
23;31;33;159
24;30;34;158
25;30;32;159
26;30;33;159
27;29;32;154
28;30;32;158
29;30;32;156
30;29;31;158
31;30;32;154
32;30;32;155
33;29;32;155
34;30;32;154
35;29;37;156
36;29;32;153
37;30;32;156
38;30;32;154
39;29;31;154
40;30;32;156
41;29;32;156
42;29;32;158
43;29;32;155
44;30;32;155
45;29;32;156
46;30;32;156
47;30;33;165
48;30;32;155
49;29;32;157
50;29;32;154
51;30;32;154
52;30;32;154
53;30;32;154
54;29;32;159
55;30;32;153
56;30;32;156
57;29;32;155
58;29;31;151
59;29;31;159
60;29;31;151
61;29;31;151
62;29;31;151
63;29;31;151
64;29;31;155
65;29;31;150
66;29;31;151
67;29;31;151
68;29;31;149
69;29;31;172
70;29;31;151
71;29;31;151
72;33;31;151
73;29;31;160
74;32;31;160
75;29;32;151
76;29;31;150
77;29;31;151
78;29;31;150
79;29;34;149
80;29;31;150
81;29;31;150
82;29;31;151
83;29;31;150
84;29;31;150
85;29;31;150
86;29;31;155
87;43;34;183
88;29;31;157
89;31;34;174
90;30;32;155
91;30;32;161
92;30;32;155
93;33;32;155
94;30;32;155
95;30;32;161
96;33;32;156
97;40;33;156
98;30;38;156
99;30;33;171
100;34;33;166
101;30;35;162
102;29;38;157
103;30;34;158
104;31;34;157
105;29;34;158
106;30;35;159
107;30;34;159
108;30;35;159
109;30;44;159
110;30;35;167
111;29;34;182
112;31;36;172
113;38;36;163
114;30;36;162
115;30;34;164
116;31;43;168
117;32;35;161
118;31;36;173
119;32;50;162
120;30;34;191
121;30;43;187
122;31;35;180
123;36;41;188
124;41;36;175
125;36;34;195
126;29;34;182
127;31;35;175
128;31;36;164
129;31;37;177
130;30;34;163
131;41;35;161
132;30;34;161
133;30;35;162
134;37;34;158
135;38;44;160
136;42;44;161
137;32;44;173
138;31;35;174
139;31;35;177
140;35;39;183
141;30;34;164
142;30;39;161
143;31;35;159
144;30;34;162
145;44;35;166
146;30;35;161
147;30;41;159
148;30;34;161
149;30;34;157
150;31;38;161
151;32;34;162
152;32;35;163
153;31;43;164
154;32;47;164
155;30;34;163
156;30;34;169
157;30;35;159
158;30;35;164
159;30;34;162
160;29;34;161
161;31;34;174
162;29;33;157
163;29;34;162
164;32;38;157
165;29;34;157
166;31;34;158
167;30;36;158
168;29;33;173
169;30;34;166
170;35;35;164
171;30;33;162
172;29;33;161
173;30;33;160
174;29;34;154
175;35;33;168
176;39;44;165
177;30;39;176
178;30;35;157
179;30;35;156
180;35;45;176
181;36;43;190
182;39;36;175
183;36;34;166
184;37;34;157
185;31;36;161
186;30;35;168
187;31;34;158
188;30;37;156
189;34;34;157
190;29;38;160
191;32;36;177
192;31;37;173
193;32;37;173
194;30;36;176
195;30;34;165
196;35;39;183
197;30;34;168
198;34;36;162
199;30;35;162
200;30;35;175
201;30;34;161
202;30;35;175
203;33;36;192
204;31;36;194
205;35;39;186
206;33;36;168
207;33;35;163
208;35;37;195
209;36;41;205
210;33;48;178
211;33;42;178
212;34;40;173
213;33;44;171
214;33;47;173
215;34;38;195
216;39;35;161
217;37;38;160
218;43;34;160
219;37;34;160
220;37;34;160
221;44;38;160
222;33;34;161
223;31;35;160
224;38;34;161
225;33;34;161
226;33;34;160
227;45;35;160
228;34;34;160
229;42;35;162
230;34;41;160
231;45;34;160
232;40;34;160
233;36;42;161
234;33;49;160
235;31;36;160
236;37;45;160
237;31;33;160
238;41;33;160
239;32;33;160
240;34;34;163
241;32;35;171
242;42;36;186
243;47;48;335
244;71;66;227
245;43;52;226
246;47;56;207
247;53;58;208
248;46;53;204
249;36;41;196
250;37;47;198
251;35;45;163
252;44;37;179
253;30;35;188
254;30;36;196
255;31;37;203
256;30;40;203
257;56;61;247
258;51;36;162
259;32;33;161
260;33;34;163
261;30;35;166
262;33;35;161
263;33;35;162
264;32;35;161
265;33;36;182
266;33;35;164
267;32;33;168
268;33;35;161
269;30;35;161
270;33;35;161
271;33;35;161
272;33;35;160
273;32;34;161
274;33;37;160
275;31;35;160
276;33;37;161
277;33;35;160
278;31;34;161
279;53;35;162
280;39;36;161
281;54;37;160
282;33;35;162
283;35;37;161
284;41;35;160
285;33;35;162
286;34;36;162
287;34;35;162
288;43;35;161
289;31;35;161
290;32;34;162
291;31;34;164
292;30;34;166
293;30;35;164
294;31;34;165
295;30;34;167
296;30;34;192
297;30;33;171
298;30;33;178
299;30;34;172
300;30;34;165
301;33;35;174
302;32;35;162
303;33;36;162
304;31;35;161
305;33;35;161
306;30;34;160
307;33;35;162
308;33;35;161
309;31;35;161
310;32;34;169
311;31;35;212
312;31;34;178
313;30;33;162
314;30;38;161
315;30;34;167
316;30;34;184
317;30;34;195
318;30;33;205
319;34;38;202
320;43;45;192
321;48;63;231
322;44;63;278
323;48;41;194
324;39;43;196
325;33;43;213
326;39;35;207
327;30;36;197
328;38;38;172
329;39;51;183
330;38;48;169
331;33;34;171
332;31;38;159
333;30;34;159
334;35;42;160
335;34;34;159
336;31;53;159
337;34;40;162
338;30;37;166
339;30;34;190
340;30;35;217
341;30;44;197
342;36;40;189
343;42;41;193
344;41;38;191
345;37;39;174
346;33;39;170
347;31;34;159
348;34;35;160
349;36;35;160
350;34;34;160
351;65;35;162
352;32;35;167
353;31;34;164
354;30;34;160
355;30;33;159
356;30;33;160
357;31;40;188
358;37;38;160
359;30;33;159
360;30;33;162
361;31;34;161
362;31;34;159
363;30;34;162
364;30;34;160
365;30;40;167
366;31;33;164
367;30;33;160
368;30;34;160
369;30;34;159
370;30;34;160
371;30;33;159
372;30;34;170
373;36;34;165
374;30;34;160
375;30;34;160
376;30;34;159
377;31;35;161
378;30;33;159
379;30;34;159
380;30;34;161
381;31;34;168
382;40;46;170
383;30;34;167
384;31;35;164
385;30;34;165
386;30;34;160
387;30;34;159
388;30;33;159
389;30;34;159
390;30;34;159
391;35;34;163
392;30;33;162
393;33;39;160
394;35;37;161
395;31;39;160
396;30;34;172
397;30;34;172
398;31;34;171
399;30;35;164
400;30;34;164
401;30;33;159
402;30;33;159
403;30;33;159
404;30;33;159
405;30;34;159
406;30;34;159
407;30;33;159
408;30;35;159
409;30;35;159
410;30;33;159
411;30;34;159
412;30;33;163
413;30;34;159
414;30;33;160
415;30;34;163
416;30;35;159
417;29;33;158
418;30;33;162
419;29;35;162
420;40;33;165
421;30;37;155
422;30;32;165
423;30;33;156
424;32;34;160
425;32;34;157
426;48;36;173
427;32;34;157
428;32;34;156
429;32;34;156
430;32;34;156
431;37;35;176
432;30;34;160
433;30;33;160
434;32;36;159
435;35;34;159
436;54;89;292
437;64;82;304
438;30;34;171
439;39;35;169
440;30;34;174
441;30;34;162
442;30;34;162
443;30;33;159
444;30;33;159
445;30;35;159
446;39;34;160
447;30;34;159
448;30;34;160
449;30;34;159
450;30;34;161
451;30;33;159
452;30;33;159
453;31;34;160
454;30;37;159
455;30;33;159
456;30;34;160
457;30;33;162
458;30;35;165
459;32;35;160
460;34;35;155
461;32;34;156
462;31;35;160
463;34;34;156
464;32;34;156
465;32;34;156
466;29;33;155
467;30;34;155
468;31;33;156
469;32;33;154
470;29;33;166
471;29;33;163
472;29;33;155
473;29;33;157
474;29;33;156
475;29;33;186
