Iteration;False Positive
516;98,968
517;98,966
518;98,964
519;98,962
520;98,96
521;98,958
522;98,956
523;98,953995
524;98,952
525;98,95
526;98,948
527;98,946
528;98,944
529;98,942
530;98,94
531;98,938
532;98,936
533;98,934
534;98,932
535;98,93
536;98,928
537;98,926
538;98,923996
539;98,922005
540;98,92
541;98,918
542;98,916
543;98,913994
544;98,912
545;98,909996
546;98,908005
547;98,906
548;98,904
549;98,902
550;98,9
551;98,898
552;98,896
553;98,894
554;98,892
555;98,89
556;98,888
557;98,886
558;98,883995
559;98,882
560;98,88
561;98,878006
562;98,876
563;98,874
564;98,872
565;98,869995
566;98,868004
567;98,866
568;98,864
569;98,862
570;98,86
571;98,858
572;98,856
573;98,854
574;98,852005
575;98,85
576;98,848
577;98,846
578;98,843994
579;98,842
580;98,84
581;98,838005
582;98,836
583;98,834
584;98,832
585;98,83
586;98,828
587;98,826
588;98,824
589;98,822
590;98,82
591;98,818
592;98,816
593;98,813995
594;98,812004
595;98,81
596;98,808
597;98,806
598;98,804
599;98,802
600;98,799995
601;98,798004
602;98,796
603;98,794
604;98,792
605;98,79
606;98,788
607;98,786
608;98,784
609;98,782005
610;98,78
611;98,778
612;98,776
613;98,773994
614;98,772
615;98,77
616;98,768005
617;98,766
618;98,764
619;98,762
620;98,76
621;98,758
622;98,756
623;98,754
624;98,752
625;98,75
626;98,748
627;98,746
628;98,743996
629;98,742004
630;98,74
631;98,73801
632;98,736
633;98,73399
634;98,732
635;98,729996
636;98,728004
637;98,726
638;98,724
639;98,722
640;98,72
641;98,718
642;98,716
643;98,714
644;98,712
645;98,71
646;98,708
647;98,706
648;98,703995
649;98,702
650;98,7
651;98,698006
652;98,696
653;98,694
654;98,692
655;98,689995
656;98,688
657;98,686
658;98,684
659;98,682
660;98,68
661;98,678
662;98,676
663;98,673996
664;98,672005
665;98,67
666;98,668
667;98,666
668;98,664
669;98,662
670;98,659996
671;98,658005
672;98,656
673;98,654
674;98,652
675;98,65
676;98,648
677;98,645996
678;98,644
679;98,642
680;98,64
681;98,638
682;98,636
683;98,633995
684;98,632
685;98,63
686;98,628006
687;98,626
688;98,624
689;98,622
690;98,619995
691;98,618004
692;98,616
693;98,614
694;98,612
695;98,61
696;98,608
697;98,606
698;98,604
699;98,602005
700;98,6
701;98,598
702;98,596
703;98,593994
704;98,592
705;98,59
706;98,588005
707;98,586
708;98,584
709;98,582
710;98,58
711;98,578
712;98,576
713;98,574
714;98,572
715;98,57
716;98,568
717;98,566
718;98,563995
719;98,562004
720;98,56
721;98,55801
722;98,556
723;98,554
724;98,552
725;98,549995
726;98,548004
727;98,546
728;98,544
729;98,542
730;98,54
731;98,538
732;98,536
733;98,534
734;98,532
735;98,53
736;98,528
737;98,526
738;98,524
739;98,522
740;98,52
741;98,518005
742;98,516
743;98,514
744;98,512
745;98,509995
746;98,508
747;98,506
748;98,504
749;98,502
750;98,5
751;98,498
752;98,496
753;98,493996
754;98,492004
755;98,49
756;98,488
757;98,486
758;98,484
759;98,482
760;98,479996
761;98,478004
762;98,476
763;98,474
764;98,472
765;98,47
766;98,468
767;98,466
768;98,464
769;98,462
770;98,46
771;98,458
772;98,456
773;98,453995
774;98,452
775;98,45
776;98,448006
777;98,446
778;98,444
779;98,442
780;98,439995
781;98,438
782;98,436
783;98,434
784;98,432
785;98,43
786;98,428
787;98,426
788;98,423996
789;98,422005
790;98,42
